Books,Start,End,Pages,Words,Author - First Name,Author - Last Name,Author - Gender,Author - Race,Author - Ethnicity,Author - Nationality,Series,Place in Series,Genre,Publisher ,Year Written,Color,Rating,Source,Format
The Hunger Games,01/01/2022,01/06/2022,374,"111,826",Suzanne,Collins,Female,White,NHO,American,The Hunger Games,1,Dystopian-Fiction,Scholastic Press,2008,Gold,5,Owned,Hardcover
Catching Fire,01/08/2022,01/13/2022,391,"116,909",Suzanne,Collins,Female,White,NHO,American,The Hunger Games,2,Dystopian-Fiction,Scholastic Press,2009,Red,5,Owned,Hardcover
Mockingjay,01/14/2022,01/15/2022,390,"119,002",Suzanne,Collins,Female,White,NHO,American,The Hunger Games,3,Dystopian-Fiction,Scholastic Press,2010,Light Blue,5,SLCL,Hardcover
Ballad of Songbirds and Snakes,01/16/2022,01/22/2022,517,"157,872",Suzanne,Collins,Female,White,NHO,American,The Hunger Games,0,Dystopian-Fiction,Scholastic Press,2020,Dark Green,5,SLCL,Hardcover
Gone Girl,01/23/2022,01/27/2022,415,"124,085",Gillian,Flynn,Female,White,NHO,American,NONE,NONE,Thriller-Fiction,Broadway Books,2012,Black,5,SLCL ,Paperback
Seven Husbands of Evelyn Hugo,01/27/2022,01/31/2022,385,"116,311",Taylor Jenkins,Reid,Female,White,NHO,American,NONE,NONE,Historical-Fiction,Atria Books,2017,Light Green,5,SLCL,Hardcover
A Court of Thorns and Roses,02/02/2022,02/04/2022,416,"129,168",Sarah J.,Maas,Female,White,NHO,American,ACOTAR,1,Fantasy-Fiction,Bloomsbury Publishing,2015,Red,5,SLCL,Hardcover
Invisible Monsters Remix,02/13/2022,02/15/2022,301,"90,298",Chuck,Palahniuk,Male,White,NHO,American,NONE,NONE,Contemporary-Fiction,W.W. Norton,2012,Dark Red,3,SLCL,Hardcover
A Court of Mist and Fury,03/05/2022,03/09/2022,624,"187,174",Sarah J.,Maas,Female,White,NHO,American,ACOTAR,2,Fantasy-Fiction,Bloomsbury Publishing,2016,Mint Green,5,SLCL,Hardcover
Little Fires Everywhere,03/09/2022,03/11/2022,336,"101,062",Celeste,Ng,Female,Asian,NHO,Chinese-American,NONE,NONE,Contemporary-Fiction,Penguin Press,2017,Dark Blue,5,SLCL,Hardcover
A Court of Wings and Ruin,03/12/2022,03/14/2022,703,"210,795",Sarah J.,Maas,Female,White,NHO,American,ACOTAR,3,Fantasy-Fiction,Bloomsbury Publishing,2017,Pink,5,SLCL,Hardcover
An Absolutely Remarkable Thing,03/15/2022,03/18/2022,338,"102,557",Hank,Green,Male,White,NHO,American,The Carls,1,Science-Fiction,Dutton,2018,Green,4,SLCL,Hardcover
A Beautifully Foolish Endeavor,03/19/2022,03/22/2022,464,"135,148",Hank,Green,Male,White,NHO,American,The Carls,2,Science-Fiction,Dutton,2020,Orange,4,SLCL,Hardcover
